homi_count,PROM_OCUP,POR_P_18YMAS,POR_P18YM_PB,POR_VPH_PISODT,POR_VPH_TV,POR_VPH_AUTOM,POR_VPH_PC,POR_VPH_INTER,GRAPROES_1
1.0,0.0452529670646723,-0.08082051726794413,-0.24922376634048232,-0.05036463278836801,-0.0731224496196642,-0.30606406513333695,-0.26032964667698577,-0.25649328810468636,-0.23277974512721902
0.0452529670646723,1.0,0.04300924189790017,-0.48229810299068493,0.5620846016933059,0.560912877427498,-0.25632464597796795,-0.3933452738097246,-0.43210675385400027,-0.27329197006715833
-0.08082051726794413,0.04300924189790017,1.0,0.6866242953513609,0.6069072915057437,0.6272126906578709,0.4997165159985797,0.5888441658657142,0.5437643365079425,0.7425601514116246
-0.24922376634048232,-0.48229810299068493,0.6866242953513609,1.0,0.2362142027414414,0.27267687143642183,0.8275369207641267,0.9297693815331297,0.9128221749782687,0.9403601599655729
-0.05036463278836801,0.5620846016933059,0.6069072915057437,0.2362142027414414,1.0,0.9757344140716473,0.2692688087846662,0.27716302127693465,0.21204796270944584,0.4586321921233624
-0.0731224496196642,0.560912877427498,0.6272126906578709,0.27267687143642183,0.9757344140716473,1.0,0.31139667170346613,0.31860878270573817,0.2509284090845644,0.4939119109950714
-0.30606406513333695,-0.25632464597796795,0.4997165159985797,0.8275369207641267,0.2692688087846662,0.31139667170346613,1.0,0.9206438346179757,0.9282049008552365,0.8426034391582361
-0.26032964667698577,-0.3933452738097246,0.5888441658657142,0.9297693815331297,0.27716302127693465,0.31860878270573817,0.9206438346179757,1.0,0.9863371027684198,0.9158708377250514
-0.25649328810468636,-0.43210675385400027,0.5437643365079425,0.9128221749782687,0.21204796270944584,0.2509284090845644,0.9282049008552365,0.9863371027684198,1.0,0.8935046018219508
-0.23277974512721902,-0.27329197006715833,0.7425601514116246,0.9403601599655729,0.4586321921233624,0.4939119109950714,0.8426034391582361,0.9158708377250514,0.8935046018219508,1.0
